DEFLT.slx11111,738560.7805787340039387345,DEMO_FAS,name_DEMO_FAS;type_SubSystem;parent_name_DEFLT;hierarchy_depth_0;num_lines_2;num_inputs_1;num_outputs_1;ul_695_281;lr_920_419;rul_-345_0;rlr_-330_0
DEFLT.slx11111,738561.3363752724835649133,DEMOFAS_IN,name_DEMOFAS_IN;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_1;num_lines_1;num_inputs_0;num_outputs_1;ul_205_338;lr_235_352;rul_140_-244;rlr_120_244
DEFLT.slx11111,738561.2007981542265042663,BusCreator,name_BusCreator;type_BusCreator;parent_name_DEMO_FAS;hierarchy_depth_1;num_lines_9;num_inputs_8;num_outputs_1;ul_1085_100;lr_1090_590;rul_-490_-7;rlr_-265_7
DEFLT.slx11111,738561.0838487152941524982,BusSelector,name_BusSelector;type_BusSelector;parent_name_DEMO_FAS;hierarchy_depth_1;num_lines_14;num_inputs_1;num_outputs_13;ul_345_94;lr_355_596;rul_-140_244;rlr_-120_-244
DEFLT.slx11111,738561.0165029572090134025,DEMO_FAS,name_DEMO_FAS;type_SubSystem;parent_name_DEMO_FAS;hierarchy_depth_1;num_lines_21;num_inputs_13;num_outputs_8;ul_595_93;lr_825_597;rul_-250_1;rlr_-470_-1
DEFLT.slx11111,738561.0603296892950311303,_ParkingBrake_b,name__ParkingBrake_b;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_62;lr_35_68;rul_105_41;rlr_160_139
DEFLT.slx11111,738561.4023433292750269175,_BrakeForce_pedal_pc,name__BrakeForce_pedal_pc;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_77;lr_35_83;rul_105_26;rlr_160_124
DEFLT.slx11111,738560.8072085840394720435,_Accelaration_pedal_pc,name__Accelaration_pedal_pc;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_92;lr_35_98;rul_105_11;rlr_160_109
DEFLT.slx11111,738561.4516202645609155297,_CruiseControl_b,name__CruiseControl_b;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_107;lr_35_113;rul_105_-4;rlr_160_94
DEFLT.slx11111,738560.7739493519766256213,_Limiter_b,name__Limiter_b;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_122;lr_35_128;rul_105_-19;rlr_160_79
DEFLT.slx11111,738561.0819496797630563378,_LeverUp_stat,name__LeverUp_stat;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_137;lr_35_143;rul_105_-34;rlr_160_64
DEFLT.slx11111,738561.2255023700417950749,_LeverDown_stat,name__LeverDown_stat;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_152;lr_35_158;rul_105_-49;rlr_160_49
DEFLT.slx11111,738560.8424560383427888155,_V_Vehicle_kmh,name__V_Vehicle_kmh;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_167;lr_35_173;rul_105_-64;rlr_160_34
DEFLT.slx11111,738561.0347610748140141368,_V_Sign_kmh,name__V_Sign_kmh;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_182;lr_35_188;rul_105_-79;rlr_160_19
DEFLT.slx11111,738561.3354833504417911172,_Sign_b,name__Sign_b;type_Inport;parent_name_DEMO_FAS;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_10_197;lr_35_203;rul_105_-94;rlr_160_4
