./raqun/family_23_variant_1_SimulationModel.slx,738561.164094282896257937,InputProcessing,name_InputProcessing;type_SubSystem;parent_name_family_23_variant_1_SimulationModel;hierarchy_depth_0;num_lines_2;num_inputs_1;num_outputs_1;ul_320_521;lr_510_939;rul_245_60;rlr_245_-65
./raqun/family_23_variant_1_SimulationModel.slx,738561.0357636045664548874,Robot,name_Robot;type_Inport;parent_name_InputProcessing;hierarchy_depth_1;num_lines_3;num_inputs_0;num_outputs_1;ul_285_-107;lr_315_-93;rul_100_-101;rlr_140_-69
./raqun/family_23_variant_1_SimulationModel.slx,738560.7268168515292927623,Brain,name_Brain;type_SubSystem;parent_name_InputProcessing;hierarchy_depth_1;num_lines_4;num_inputs_3;num_outputs_1;ul_500_-135;lr_690_65;rul_-215_28;rlr_-375_-158
./raqun/family_23_variant_1_SimulationModel.slx,738561.253499236423522234,Robot,name_Robot;type_Inport;parent_name_Brain;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_20_101;lr_40_119;rul_160_-1;rlr_190_61
./raqun/family_23_variant_1_SimulationModel.slx,738561.0069626637268811464,correction_status,name_correction_status;type_Inport;parent_name_Brain;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_20_136;lr_40_154;rul_160_-36;rlr_190_26
./raqun/family_23_variant_1_SimulationModel.slx,738561.3977197668282315135,correction_sign,name_correction_sign;type_Inport;parent_name_Brain;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_20_171;lr_40_189;rul_160_-71;rlr_190_-9
./raqun/family_23_variant_1_SimulationModel.slx,738560.9944284743396565318,Demux,name_Demux;type_Demux;parent_name_Brain;hierarchy_depth_2;num_lines_2;num_inputs_1;num_outputs_1;ul_270_230;lr_320_270;rul_-90_-130;rlr_-90_-90
./raqun/family_23_variant_1_SimulationModel.slx,738561.0806767208268865943,SFunction,name_SFunction;type_S-Function;parent_name_Brain;hierarchy_depth_2;num_lines_5;num_inputs_3;num_outputs_2;ul_180_100;lr_230_180;rul_-160_1;rlr_-190_-61
./raqun/family_23_variant_1_SimulationModel.slx,738561.5411439579911530018,Terminator,name_Terminator;type_Terminator;parent_name_Brain;hierarchy_depth_2;num_lines_1;num_inputs_1;num_outputs_0;ul_460_241;lr_480_259;rul_-190_-11;rlr_-160_11
./raqun/family_23_variant_1_SimulationModel.slx,738560.8649108440149575472,Cmd,name_Cmd;type_Outport;parent_name_Brain;hierarchy_depth_2;num_lines_1;num_inputs_1;num_outputs_0;ul_460_101;lr_480_119;rul_-280_-1;rlr_-250_61
./raqun/family_23_variant_1_SimulationModel.slx,738561.0749692578101530671,MATLABFunction1,name_MATLABFunction1;type_SubSystem;parent_name_InputProcessing;hierarchy_depth_1;num_lines_2;num_inputs_1;num_outputs_1;ul_385_-208;lr_455_-162;rul_-100_101;rlr_-140_69
./raqun/family_23_variant_1_SimulationModel.slx,738561.1354384169680997729,u,name_u;type_Inport;parent_name_MATLABFunction1;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_20_101;lr_40_119;rul_160_-1;rlr_190_41
./raqun/family_23_variant_1_SimulationModel.slx,738561.0282731330953538418,Demux,name_Demux;type_Demux;parent_name_MATLABFunction1;hierarchy_depth_2;num_lines_2;num_inputs_1;num_outputs_1;ul_270_230;lr_320_270;rul_-90_-130;rlr_-90_-110
./raqun/family_23_variant_1_SimulationModel.slx,738561.6614812057232484221,SFunction,name_SFunction;type_S-Function;parent_name_MATLABFunction1;hierarchy_depth_2;num_lines_3;num_inputs_1;num_outputs_2;ul_180_100;lr_230_160;rul_-160_1;rlr_-190_-41
./raqun/family_23_variant_1_SimulationModel.slx,738560.9853056160500273108,Terminator,name_Terminator;type_Terminator;parent_name_MATLABFunction1;hierarchy_depth_2;num_lines_1;num_inputs_1;num_outputs_0;ul_460_241;lr_480_259;rul_-190_-11;rlr_-160_11
./raqun/family_23_variant_1_SimulationModel.slx,738561.2039795074379071593,y,name_y;type_Outport;parent_name_MATLABFunction1;hierarchy_depth_2;num_lines_1;num_inputs_1;num_outputs_0;ul_460_101;lr_480_119;rul_-280_-1;rlr_-250_41
./raqun/family_23_variant_1_SimulationModel.slx,738561.2010554204462096095,ObstacleDetection,name_ObstacleDetection;type_SubSystem;parent_name_InputProcessing;hierarchy_depth_1;num_lines_3;num_inputs_1;num_outputs_2;ul_360_-67;lr_455_62;rul_-75_-40;rlr_-140_-155
./raqun/family_23_variant_1_SimulationModel.slx,738561.5022189542651176453,Robot,name_Robot;type_Inport;parent_name_ObstacleDetection;hierarchy_depth_2;num_lines_1;num_inputs_0;num_outputs_1;ul_20_101;lr_40_119;rul_160_-1;rlr_190_61
./raqun/family_23_variant_1_SimulationModel.slx,738561.2090464032953605056,Demux,name_Demux;type_Demux;parent_name_ObstacleDetection;hierarchy_depth_2;num_lines_2;num_inputs_1;num_outputs_1;ul_270_230;lr_320_270;rul_-90_-130;rlr_-90_-90
./raqun/family_23_variant_1_SimulationModel.slx,738560.727881879429332912,SFunction,name_SFunction;type_S-Function;parent_name_ObstacleDetection;hierarchy_depth_2;num_lines_4;num_inputs_1;num_outputs_3;ul_180_100;lr_230_180;rul_-160_1;rlr_-190_-61
./raqun/family_23_variant_1_SimulationModel.slx,738561.5248195520834997296,Terminator,name_Terminator;type_Terminator;parent_name_ObstacleDetection;hierarchy_depth_2;num_lines_1;num_inputs_1;num_outputs_0;ul_460_241;lr_480_259;rul_-190_-11;rlr_-160_11
./raqun/family_23_variant_1_SimulationModel.slx,738560.8180268622236326337,correction_status,name_correction_status;type_Outport;parent_name_ObstacleDetection;hierarchy_depth_2;num_lines_1;num_inputs_1;num_outputs_0;ul_460_101;lr_480_119;rul_-280_-1;rlr_-250_61
./raqun/family_23_variant_1_SimulationModel.slx,738561.7012063430156558752,correction_sign,name_correction_sign;type_Outport;parent_name_ObstacleDetection;hierarchy_depth_2;num_lines_1;num_inputs_1;num_outputs_0;ul_460_136;lr_480_154;rul_-280_-36;rlr_-250_26
./raqun/family_23_variant_1_SimulationModel.slx,738561.4371933365473523736,Terminator1,name_Terminator1;type_Terminator;parent_name_InputProcessing;hierarchy_depth_1;num_lines_1;num_inputs_1;num_outputs_0;ul_770_-105;lr_790_-85;rul_-270_-30;rlr_-100_150
./raqun/family_23_variant_1_SimulationModel.slx,738560.7468493884662166238,RobotCmd,name_RobotCmd;type_Outport;parent_name_InputProcessing;hierarchy_depth_1;num_lines_1;num_inputs_1;num_outputs_0;ul_765_-42;lr_795_-28;rul_-380_-166;rlr_-340_-134
./raqun/family_23_variant_1_SimulationModel.slx,738561.6848197353538125753,Real-TimePacer,name_Real-TimePacer;type_Reference;parent_name_family_23_variant_1_SimulationModel;hierarchy_depth_0;num_lines_0;num_inputs_0;num_outputs_0;ul_865_624;lr_967_681;rul_0_0;rlr_0_0
./raqun/family_23_variant_1_SimulationModel.slx,738561.3767156959511339664,RobotModel,name_RobotModel;type_SubSystem;parent_name_family_23_variant_1_SimulationModel;hierarchy_depth_0;num_lines_5;num_inputs_1;num_outputs_4;ul_565_581;lr_755_874;rul_-245_-60;rlr_-245_65
./raqun/family_23_variant_1_SimulationModel.slx,738560.8537183790467679501,RobotCmd,name_RobotCmd;type_Inport;parent_name_RobotModel;hierarchy_depth_1;num_lines_1;num_inputs_0;num_outputs_1;ul_15_298;lr_45_312;rul_70_-201;rlr_210_61
./raqun/family_23_variant_1_SimulationModel.slx,738561.5249756951816380024,BusCreator,name_BusCreator;type_BusCreator;parent_name_RobotModel;hierarchy_depth_1;num_lines_7;num_inputs_6;num_outputs_1;ul_625_59;lr_630_241;rul_-305_-4;rlr_-175_34
